Add,Block ID,CLUE small area,Longitude,Latitude
303 Exhibition Street MELBOURNE 3000,87,Melbourne (CBD),144.96747,-37.81049
309 Exhibition Street MELBOURNE 3000,87,Melbourne (CBD),144.96741,-37.81038
"Lot 1, Part Ground , 347 King Street WEST MELBOURNE 3003",91,West Melbourne (Residential),144.9522,-37.81378
"Part Level 5, 414 La Trobe Street MELBOURNE 3000",93,Melbourne (CBD),144.9558,-37.81287
"Shop , LwrGround , 350 La Trobe Street MELBOURNE 3000",94,Melbourne (CBD),144.95796,-37.81232
"Part Lobby 0, 300-0 La Trobe Street MELBOURNE 3000",94,Melbourne (CBD),144.95912,-37.8118
"Unit 1, 200 La Trobe Street MELBOURNE 3000",95,Melbourne (CBD),144.96189,-37.81117
70-72 Little La Trobe Street MELBOURNE 3000,95,Melbourne (CBD),144.96043,-37.81108
"Floor 1, 36 Little La Trobe Street MELBOURNE 3000",95,Melbourne (CBD),144.9612,-37.81086
381 Swanston Street MELBOURNE 3000,95,Melbourne (CBD),144.9621,-37.81109
"Floor 1, 124 La Trobe Street MELBOURNE 3000",96,Melbourne (CBD),144.96325,-37.80981
"Part Level 4, 124 La Trobe Street MELBOURNE 3000",96,Melbourne (CBD),144.96325,-37.80981
"Ground , 390 Spencer Street WEST MELBOURNE 3003",101,West Melbourne (Residential),144.94963,-37.81296
"Ground , 390 Spencer Street WEST MELBOURNE 3003",101,West Melbourne (Residential),144.94963,-37.81296
"Ground , 362 Spencer Street WEST MELBOURNE 3003",101,West Melbourne (Residential),144.94986,-37.81353
106 A'Beckett Street MELBOURNE 3000,104,Melbourne (CBD),144.9587,-37.81077
433 Elizabeth Street MELBOURNE 3000,104,Melbourne (CBD),144.95903,-37.8105
"Part Ground , 167 Franklin Street MELBOURNE 3000",104,Melbourne (CBD),144.95784,-37.81062
408 Queen Street MELBOURNE 3000,104,Melbourne (CBD),144.95715,-37.81062
"Shop 3, Ground , 422-440 Elizabeth Street MELBOURNE 3000",105,Melbourne (CBD),144.95969,-37.81027
157-159 Victoria Street MELBOURNE 3000,113,Melbourne (CBD),144.95638,-37.80888
157-159 Victoria Street MELBOURNE 3000,113,Melbourne (CBD),144.95638,-37.80888
"Stall 7, 50 Peel Street MELBOURNE 3000",113,Melbourne (CBD),144.95638,-37.80888
"Stall 20, 50 Peel Street MELBOURNE 3000",113,Melbourne (CBD),144.95638,-37.80888
77 Victoria Street MELBOURNE 3000,113,Melbourne (CBD),144.95638,-37.80888
81 Victoria Street MELBOURNE 3000,113,Melbourne (CBD),144.95638,-37.80888
507 Elizabeth Street MELBOURNE 3000,113,Melbourne (CBD),144.95638,-37.80888
487 Elizabeth Street MELBOURNE 3000,114,Melbourne (CBD),144.95848,-37.80924
501-503 Elizabeth Street MELBOURNE 3000,114,Melbourne (CBD),144.95824,-37.80899
464 Therry Street MELBOURNE 3000,114,Melbourne (CBD),144.95709,-37.80954
420 Swanston Street MELBOURNE 3000,116,Melbourne (CBD),144.96205,-37.80869
512A-512B Elizabeth Street MELBOURNE 3000,125,Melbourne (CBD),144.95887,-37.80835
18-38 Siddeley Street DOCKLANDS 3005,131,Docklands,144.95223,-37.82421
221 Faraday Street CARLTON 3053,206,Carlton,144.96541,-37.8005
233 Faraday Street CARLTON 3053,206,Carlton,144.96509,-37.80046
88 Lygon Street CARLTON 3053,206,Carlton,144.96524,-37.80209
215 Lygon Street CARLTON 3053,206,Carlton,144.96539,-37.80192
219 Lygon Street CARLTON 3053,206,Carlton,144.9654,-37.80183
225 Lygon Street CARLTON 3053,206,Carlton,144.96543,-37.80168
237 Lygon Street CARLTON 3053,206,Carlton,144.96546,-37.8015
247 Lygon Street CARLTON 3053,206,Carlton,144.96549,-37.80128
247 Lygon Street CARLTON 3053,206,Carlton,144.96549,-37.80128
255 Lygon Street CARLTON 3053,206,Carlton,144.96552,-37.80112
263 Lygon Street CARLTON 3053,206,Carlton,144.96555,-37.80093
275 Lygon Street CARLTON 3053,206,Carlton,144.9656,-37.80069
275 Lygon Street CARLTON 3053,206,Carlton,144.9656,-37.80069
305 Lygon Street CARLTON 3053,207,Carlton,144.96576,-37.79982
341 Lygon Street CARLTON 3053,207,Carlton,144.96591,-37.79899
400 Lygon Street CARLTON 3053,217,Carlton,144.96644,-37.79927
"Shop 27, 368 Lygon Street CARLTON 3053",217,Carlton,144.96683,-37.79968
48 Grattan Street CARLTON 3053,218,Carlton,144.96656,-37.80223
334 Lygon Street CARLTON 3053,218,Carlton,144.96618,-37.8008
316 Lygon Street CARLTON 3053,218,Carlton,144.96627,-37.80126
316 Lygon Street CARLTON 3053,218,Carlton,144.96627,-37.80126
306 Lygon Street CARLTON 3053,218,Carlton,144.96611,-37.80142
294 Lygon Street CARLTON 3053,218,Carlton,144.96603,-37.80168
294 Lygon Street CARLTON 3053,218,Carlton,144.96603,-37.80168
109 Elgin Street CARLTON 3053,223,Carlton,144.96972,-37.79945
118 Elgin Street CARLTON 3053,224,Carlton,144.96954,-37.79888
114 Rathdowne Street CARLTON 3053,224,Carlton,144.96957,-37.79859
154 Rathdowne Street CARLTON 3053,225,Carlton,144.96976,-37.79749
176 Rathdowne Street CARLTON 3053,226,Carlton,144.96986,-37.79687
168 Rathdowne Street CARLTON 3053,226,Carlton,144.96983,-37.79702
168 Rathdowne Street CARLTON 3053,226,Carlton,144.96983,-37.79702
164 Rathdowne Street CARLTON 3053,226,Carlton,144.96982,-37.79711
160 Rathdowne Street CARLTON 3053,226,Carlton,144.96981,-37.79717
163 Grattan Street CARLTON 3053,243,Carlton,144.9621,-37.80223
154 Lincoln Square North CARLTON 3053,243,Carlton,144.96141,-37.80297
89 Grattan Street CARLTON 3053,246,Carlton,144.9649,-37.80279
169 Lygon Street CARLTON 3053,246,Carlton,144.96514,-37.80336
173 Lygon Street CARLTON 3053,246,Carlton,144.96516,-37.80324
189 Lygon Street CARLTON 3053,246,Carlton,144.96517,-37.80283
191 Lygon Street CARLTON 3053,246,Carlton,144.96518,-37.80278
201 Lygon Street CARLTON 3053,246,Carlton,144.96536,-37.80253
111 Grattan Street CARLTON 3053,246,Carlton,144.96445,-37.80245
111 Grattan Street CARLTON 3053,246,Carlton,144.96445,-37.80245
258 Lygon Street CARLTON 3053,247,Carlton,144.96585,-37.80278
258 Lygon Street CARLTON 3053,247,Carlton,144.96585,-37.80278
256 Lygon Street CARLTON 3053,247,Carlton,144.96584,-37.80282
240 Lygon Street CARLTON 3053,247,Carlton,144.96593,-37.80322
234 Lygon Street CARLTON 3053,247,Carlton,144.96591,-37.80333
232 Lygon Street CARLTON 3053,247,Carlton,144.96591,-37.8034
218 Drummond Street CARLTON 3053,248,Carlton,144.96728,-37.8028
218 Drummond Street CARLTON 3053,248,Carlton,144.96728,-37.8028
166 Lygon Street CARLTON 3053,252,Carlton,144.96549,-37.80495
"Level 1, 160 Lygon Street CARLTON 3053",252,Carlton,144.96545,-37.80508
148 Lygon Street CARLTON 3053,252,Carlton,144.96542,-37.80531
132 Lygon Street CARLTON 3053,252,Carlton,144.96538,-37.8056
126 Lygon Street CARLTON 3053,252,Carlton,144.96539,-37.80608
120 Lygon Street CARLTON 3053,252,Carlton,144.96539,-37.80608
116 Lygon Street CARLTON 3053,252,Carlton,144.96539,-37.80608
98 Lygon Street CARLTON 3053,252,Carlton,144.96539,-37.80608
98 Lygon Street CARLTON 3053,252,Carlton,144.96539,-37.80608
69 Pelham Street CARLTON 3053,252,Carlton,144.96586,-37.80491
"Floor 1, 95 Lygon Street CARLTON 3053",254,Carlton,144.96463,-37.80631
"Ground , 95 Lygon Street CARLTON 3053",254,Carlton,144.96463,-37.80631
103 Lygon Street CARLTON 3053,254,Carlton,144.96466,-37.80613
121 Lygon Street CARLTON 3053,254,Carlton,144.96471,-37.80579
"Ground , 123 Lygon Street CARLTON 3053",254,Carlton,144.96472,-37.80573
131 Lygon Street CARLTON 3053,254,Carlton,144.96475,-37.80561
